attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue
35291.0,San Diego Padres,0,3,0,https://www.baseball-reference.com/boxes/MIL/MIL201605130.shtml,"Friday, May 13, 2016",,: 2:56,"Night Game, on grass",Milwaukee Brewers,2,7,1,Start Time: 7:10 p.m. Local, Miller Park
46716.0,St. Louis Cardinals,4,9,4,https://www.baseball-reference.com/boxes/LAN/LAN201605130.shtml,"Friday, May 13, 2016",,: 3:01,"Night Game, on grass",Los Angeles Dodgers,1,11,8,Start Time: 7:10 p.m. Local, Dodger Stadium
33132.0,Atlanta Braves,2,7,1,https://www.baseball-reference.com/boxes/KCA/KCA201605130.shtml,"Friday, May 13, 2016",,: 2:45,"Night Game, on grass",Kansas City Royals,1,7,5,Start Time: 7:15 p.m. Local, Kauffman Stadium
38712.0,New York Mets,0,6,2,https://www.baseball-reference.com/boxes/COL/COL201605130.shtml,"Friday, May 13, 2016",,: 2:48,"Night Game, on grass",Colorado Rockies,0,12,5,Start Time: 6:42 p.m. Local, Coors Field
17803.0,Minnesota Twins,1,8,6,https://www.baseball-reference.com/boxes/CLE/CLE201605130.shtml,"Friday, May 13, 2016",,: 3:07,"Night Game, on grass",Cleveland Indians,2,8,7,Start Time: 7:10 p.m. Local, Progressive Field
37479.0,Pittsburgh Pirates,0,11,4,https://www.baseball-reference.com/boxes/CHN/CHN201605130.shtml,"Friday, May 13, 2016",,: 2:55,"Day Game, on grass",Chicago Cubs,1,11,9,Start Time: 1:20 p.m. Local, Wrigley Field
33148.0,Houston Astros,0,13,7,https://www.baseball-reference.com/boxes/BOS/BOS201605130.shtml,"Friday, May 13, 2016",,: 3:49,"Night Game, on grass",Boston Red Sox,0,11,6,Start Time: 7:10 p.m. Local, Fenway Park
30488.0,Detroit Tigers,0,6,0,https://www.baseball-reference.com/boxes/BAL/BAL201605130.shtml,"Friday, May 13, 2016",,: 2:39,"Night Game, on grass",Baltimore Orioles,0,4,1,Start Time: 7:07 p.m. Local, Oriole Park at Camden Yards
27869.0,Cincinnati Reds,1,14,9,https://www.baseball-reference.com/boxes/PHI/PHI201605150.shtml,"Sunday, May 15, 2016",,: 3:52,"Day Game, on grass",Philadelphia Phillies,2,12,4,Start Time: 1:39 p.m. Local, Citizens Bank Park
27257.0,Atlanta Braves,0,8,7,https://www.baseball-reference.com/boxes/PHI/PHI201605200.shtml,"Friday, May 20, 2016",,: 3:00,"Night Game, on grass",Philadelphia Phillies,2,6,1,Start Time: 7:07 p.m. Local, Citizens Bank Park
28235.0,New York Yankees,1,13,8,https://www.baseball-reference.com/boxes/OAK/OAK201605200.shtml,"Friday, May 20, 2016",,: 3:13,"Night Game, on grass",Oakland Athletics,3,6,3,Start Time: 6:38 p.m. Local, Oakland-Alameda County Coliseum
36239.0,Milwaukee Brewers,0,3,2,https://www.baseball-reference.com/boxes/NYN/NYN201605200.shtml,"Friday, May 20, 2016",,: 2:31,"Night Game, on grass",New York Mets,0,7,3,Start Time: 7:11 p.m. Local, Citi Field
29396.0,Toronto Blue Jays,2,14,9,https://www.baseball-reference.com/boxes/MIN/MIN201605200.shtml,"Friday, May 20, 2016",,: 2:48,"Night Game, on grass",Minnesota Twins,0,10,3,Start Time: 7:11 p.m. Local, Target Field
20017.0,Washington Nationals,0,8,4,https://www.baseball-reference.com/boxes/MIA/MIA201605200.shtml,"Friday, May 20, 2016",,: 2:53,"Night Game, on grass",Miami Marlins,0,9,1,Start Time: 7:11 p.m. Local, Marlins Park
28724.0,Texas Rangers,0,5,2,https://www.baseball-reference.com/boxes/HOU/HOU201605200.shtml,"Friday, May 20, 2016",,: 2:33,"Night Game, on grass",Houston Astros,0,6,1,Start Time: 7:11 p.m. Local, Minute Maid Park
30304.0,Tampa Bay Rays,2,8,7,https://www.baseball-reference.com/boxes/DET/DET201605200.shtml,"Friday, May 20, 2016",,: 3:26,"Night Game, on grass",Detroit Tigers,1,11,5,Start Time: 7:10 p.m. Local, Comerica Park
20435.0,Seattle Mariners,0,10,8,https://www.baseball-reference.com/boxes/CIN/CIN201605200.shtml,"Friday, May 20, 2016",,: 3:10,"Night Game, on grass",Cincinnati Reds,0,8,3,Start Time: 7:55 p.m. Local, Great American Ball Park
24020.0,Kansas City Royals,1,12,4,https://www.baseball-reference.com/boxes/CHA/CHA201605200.shtml,"Friday, May 20, 2016",,: 2:59,"Night Game, on grass",Chicago White Sox,1,6,1,Start Time: 7:11 p.m. Local, U.S. Cellular Field
37354.0,Cleveland Indians,1,8,4,https://www.baseball-reference.com/boxes/BOS/BOS201605200.shtml,"Friday, May 20, 2016",,: 3:07,"Night Game, on grass",Boston Red Sox,1,6,2,Start Time: 7:11 p.m. Local, Fenway Park
40987.0,Baltimore Orioles,1,14,9,https://www.baseball-reference.com/boxes/ANA/ANA201605200.shtml,"Friday, May 20, 2016",,: 3:20,"Night Game, on grass",Los Angeles Angels of Anaheim,1,7,4,Start Time: 7:08 p.m. Local, Angel Stadium of Anaheim
43683.0,Colorado Rockies,0,9,7,https://www.baseball-reference.com/boxes/SLN/SLN201605190.shtml,"Thursday, May 19, 2016",,: 3:16,"Night Game, on grass",St. Louis Cardinals,0,12,13,Start Time: 6:16 p.m. Local, Busch Stadium III
41280.0,Baltimore Orioles,1,5,2,https://www.baseball-reference.com/boxes/ANA/ANA201605220.shtml,"Sunday, May 22, 2016",,: 2:33,"Day Game, on grass",Los Angeles Angels of Anaheim,0,13,10,Start Time: 12:39 p.m. Local, Angel Stadium of Anaheim
26176.0,St. Louis Cardinals,0,6,1,https://www.baseball-reference.com/boxes/WAS/WAS201605260.shtml,"Thursday, May 26, 2016",,: 2:27,"Night Game, on grass",Washington Nationals,1,7,2,Start Time: 7:05 p.m. Local, Nationals Park
